Ticker,Company,Year,Industry,EV/Sales,M0 APE,M1 APE,M2 APE,M3 APE,Best,MCap $m,Jacc,Flag
TXNM,TXNM ENERGY INC,2020,Utilities,4.97x,1.8%,0.2%,5.6%,0.0%,M3_Fus,$4166m,0.111,
ARTNA,ARTESIAN RESOURCES  -CL A,2023,Utilities,6.12x,20.1%,0.0%,6.2%,0.0%,M1_Fin,$426m,0.111,
WY,WEYERHAEUSER CO,2024,Construction Materials,3.51x,36.3%,0.0%,32.8%,0.0%,M1_Fin,$20433m,0.000,
INN,SUMMIT HOTEL PROPERTIES INC,2020,Trading,8.64x,6.7%,17.0%,5.1%,0.0%,M3_Fus,$952m,0.053,
NRP,NATURAL RESOURCE PARTNERS LP,2021,Trading,3.68x,81.4%,20.1%,30.5%,0.0%,M3_Fus,$413m,0.000,
RXT,RACKSPACE TECHNOLOGY INC,2020,Computer Software,2.88x,109.4%,3.9%,48.6%,0.0%,M3_Fus,$3846m,0.000,
AXTI,AXT INC,2021,Electronic Equipment,2.56x,36.7%,73.9%,64.4%,0.0%,M3_Fus,$378m,0.000,
RWAY,RUNWAY GROWTH FINANCE CORP,2022,Trading,9.33x,4.8%,26.5%,3.7%,0.0%,M3_Fus,$469m,0.000,
LEA,LEAR CORP,2020,Business Supplies,0.65x,186.6%,84.5%,305.8%,0.0%,M3_Fus,$9550m,0.000,
MRCC,MONROE CAPITAL CORP,2024,Trading,7.72x,2.7%,0.6%,3.3%,0.0%,M3_Fus,$184m,0.053,
