focal_tic,industry,role,model,actual_mult,implied_mult,sale_$M,actual_ev_$M,implied_ev_$M,ev_gap_$M,ev_gap_pct,ape,n_peers,mean_cosine
GILD,Pharmaceutical Products,Consensus-reinforcement,M0_FF49,4.550567573207206,6.357700734883451,28754.0,130847.02000000002,182809.32693083875,51962.306930838735,39.71225858322087,39.71225858322089,208,1.0
GILD,Pharmaceutical Products,Consensus-reinforcement,M1_Financial,4.550567573207206,6.920706698493361,28754.0,130847.02000000002,198998.0004084781,68150.98040847809,52.08447269832976,52.08447269832976,10,0.7895131908370566
GILD,Pharmaceutical Products,Consensus-reinforcement,M2_Text,4.550567573207206,3.343278898317831,28754.0,130847.02000000002,96132.64144223092,-34714.3785577691,-26.53050757882686,26.530507578826857,10,0.9815176367759705
GILD,Pharmaceutical Products,Consensus-reinforcement,M3_Fusion,4.550567573207206,4.5868493379379895,28754.0,130847.02000000002,131890.26586306895,1043.2458630689362,0.7973019661196228,0.7973019661196297,10,0.8576504305336478
TGT,Retail,Baseline-survives,M0_FF49,0.7313800365031999,0.8072018596950613,106566.0,77940.24497,86020.2733802639,8080.028410263898,10.366952802591246,10.366952802591246,112,1.0
TGT,Retail,Baseline-survives,M1_Financial,0.7313800365031999,1.0064697861257732,106566.0,77940.24497,107255.45922827914,29315.214258279142,37.612422529032166,37.612422529032166,10,0.8920340612817512
TGT,Retail,Baseline-survives,M2_Text,0.7313800365031999,1.0180693860791203,106566.0,77940.24497,108491.58219690753,30551.337226907533,39.1984105755211,39.198410575521095,10,0.9811566710472107
TGT,Retail,Baseline-survives,M3_Fusion,0.7313800365031999,0.8207864853440108,106566.0,77940.24497,87467.93259716986,9527.687627169857,12.224349090559263,12.224349090559251,10,0.9174051634553496
NVDA,Semiconductors,Boundary case (scope),M0_FF49,22.268813765833695,3.620162976684723,130497.0,2906013.3899999997,472420.4079684263,-2433592.9820315735,-83.74335061242006,83.74335061242006,114,1.0
NVDA,Semiconductors,Boundary case (scope),M1_Financial,22.268813765833695,5.736158989824753,130497.0,2906013.3899999997,748551.5396951608,-2157461.8503048387,-74.24129075691695,74.24129075691694,10,0.7126411090803358
NVDA,Semiconductors,Boundary case (scope),M2_Text,22.268813765833695,5.194416360343035,130497.0,2906013.3899999997,677855.751775685,-2228157.638224315,-76.67403205682804,76.67403205682804,10,0.9730581998825073
NVDA,Semiconductors,Boundary case (scope),M3_Fusion,22.268813765833695,5.018652102991492,130497.0,2906013.3899999997,654919.0434840807,-2251094.346515919,-77.46331638602393,77.46331638602392,10,0.7993701783272125
PFE,Pharmaceutical Products,Post-restructuring drift,M0_FF49,3.131944603538246,6.357700734883451,62856.0,196861.51,399619.6373918342,202758.12739183422,102.99531248735936,102.99531248735939,208,1.0
PFE,Pharmaceutical Products,Post-restructuring drift,M1_Financial,3.131944603538246,3.1542211463735903,62856.0,196861.51,198261.72437645838,1400.2143764583743,0.7112687373262423,0.7112687373262598,10,0.7584528522577394
PFE,Pharmaceutical Products,Post-restructuring drift,M2_Text,3.131944603538246,3.343278898317831,62856.0,196861.51,210145.13843266558,13283.628432665573,6.747702195652961,6.747702195652976,10,0.9804092407226562
PFE,Pharmaceutical Products,Post-restructuring drift,M3_Fusion,3.131944603538246,2.900008190801262,62856.0,196861.51,182282.91484100412,-14578.595158995886,-7.4055081458005105,7.405508145800496,10,0.8351695817800211
AMZN,Retail Stores,Boundary case (scope),M0_FF49,3.727434317879362,0.7957251464330118,637959.0,2377950.27,507640.0186932578,-1870310.2513067422,-78.6522020625243,78.6522020625243,112,1.0
AMZN,Retail Stores,Boundary case (scope),M1_Financial,3.727434317879362,1.985774345607713,637959.0,2377950.27,1266842.615749551,-1111107.654250449,-46.72543695585564,46.72543695585564,10,0.714549814845873
AMZN,Retail Stores,Boundary case (scope),M2_Text,3.727434317879362,1.7366685564284392,637959.0,2377950.27,1107923.3355905307,-1270026.9344094694,-53.4084732734747,53.4084732734747,10,0.9756795704364777
AMZN,Retail Stores,Boundary case (scope),M3_Fusion,3.727434317879362,1.985774345607713,637959.0,2377950.27,1266842.615749551,-1111107.654250449,-46.72543695585564,46.72543695585564,10,0.8052164696615749
GS,Trading,Financial-dominant,M0_FF49,4.184331454518222,8.15080439920685,126853.0,530794.998,1033953.9904525866,503158.99245258654,94.79346910736837,94.79346910736834,296,1.0
GS,Trading,Financial-dominant,M1_Financial,4.184331454518222,3.798989282608026,126853.0,530794.998,481913.18746667594,-48881.81053332408,-9.209169400146472,9.209169400146482,10,0.8033208198636572
GS,Trading,Financial-dominant,M2_Text,4.184331454518222,1.8330327928353995,126853.0,530794.998,232525.70886954895,-298269.28913045104,-56.192935173524575,56.19293517352458,10,0.9825866401195527
GS,Trading,Financial-dominant,M3_Fusion,4.184331454518222,3.3190984092575113,126853.0,530794.998,421037.5905095431,-109757.40749045694,-20.677927995556757,20.677927995556765,10,0.8673856445175405
