stratum,year,period,alpha,mdape_pct,n
R&D-Active,2020,Validation,0.0,37.6316,1054
R&D-Active,2020,Validation,0.1,36.357,1054
R&D-Active,2020,Validation,0.2,36.1256,1054
R&D-Active,2020,Validation,0.3,35.4003,1054
R&D-Active,2020,Validation,0.4,36.2636,1054
R&D-Active,2020,Validation,0.5,36.9226,1054
R&D-Active,2020,Validation,0.6,38.371,1054
R&D-Active,2020,Validation,0.7,39.5637,1054
R&D-Active,2020,Validation,0.8,41.5195,1054
R&D-Active,2020,Validation,0.9,43.1534,1054
R&D-Active,2020,Validation,1.0,46.1398,1054
R&D-Active,2021,Validation,0.0,34.8857,1225
R&D-Active,2021,Validation,0.1,34.0107,1225
R&D-Active,2021,Validation,0.2,34.0107,1225
R&D-Active,2021,Validation,0.3,34.6376,1225
R&D-Active,2021,Validation,0.4,33.3062,1225
R&D-Active,2021,Validation,0.5,34.0577,1225
R&D-Active,2021,Validation,0.6,36.0091,1225
R&D-Active,2021,Validation,0.7,37.4316,1225
R&D-Active,2021,Validation,0.8,39.1754,1225
R&D-Active,2021,Validation,0.9,42.889,1225
R&D-Active,2021,Validation,1.0,44.5434,1225
R&D-Active,2022,Validation,0.0,45.2384,1112
R&D-Active,2022,Validation,0.1,45.3323,1112
R&D-Active,2022,Validation,0.2,43.452,1112
R&D-Active,2022,Validation,0.3,42.7985,1112
R&D-Active,2022,Validation,0.4,42.7284,1112
R&D-Active,2022,Validation,0.5,43.6061,1112
R&D-Active,2022,Validation,0.6,43.5361,1112
R&D-Active,2022,Validation,0.7,44.695,1112
R&D-Active,2022,Validation,0.8,47.0817,1112
R&D-Active,2022,Validation,0.9,51.0101,1112
R&D-Active,2022,Validation,1.0,54.0988,1112
R&D-Active,2023,Test,0.0,41.8975,1113
R&D-Active,2023,Test,0.1,40.5283,1113
R&D-Active,2023,Test,0.2,38.4235,1113
R&D-Active,2023,Test,0.3,38.8658,1113
R&D-Active,2023,Test,0.4,39.4663,1113
R&D-Active,2023,Test,0.5,41.0483,1113
R&D-Active,2023,Test,0.6,43.1986,1113
R&D-Active,2023,Test,0.7,43.4168,1113
R&D-Active,2023,Test,0.8,47.0659,1113
R&D-Active,2023,Test,0.9,47.9864,1113
R&D-Active,2023,Test,1.0,49.3247,1113
R&D-Active,2024,Test,0.0,42.4043,1181
R&D-Active,2024,Test,0.1,41.9732,1181
R&D-Active,2024,Test,0.2,41.0109,1181
R&D-Active,2024,Test,0.3,41.3537,1181
R&D-Active,2024,Test,0.4,41.2161,1181
R&D-Active,2024,Test,0.5,40.952,1181
R&D-Active,2024,Test,0.6,44.1788,1181
R&D-Active,2024,Test,0.7,45.6853,1181
R&D-Active,2024,Test,0.8,50.3587,1181
R&D-Active,2024,Test,0.9,51.6253,1181
R&D-Active,2024,Test,1.0,54.7195,1181
R&D-Zero,2020,Validation,0.0,46.1492,1392
R&D-Zero,2020,Validation,0.1,45.8926,1392
R&D-Zero,2020,Validation,0.2,46.2639,1392
R&D-Zero,2020,Validation,0.3,45.1528,1392
R&D-Zero,2020,Validation,0.4,45.1085,1392
R&D-Zero,2020,Validation,0.5,46.4368,1392
R&D-Zero,2020,Validation,0.6,46.3332,1392
R&D-Zero,2020,Validation,0.7,49.1219,1392
R&D-Zero,2020,Validation,0.8,52.0469,1392
R&D-Zero,2020,Validation,0.9,56.1653,1392
R&D-Zero,2020,Validation,1.0,57.0836,1392
R&D-Zero,2021,Validation,0.0,50.2564,1556
R&D-Zero,2021,Validation,0.1,48.2187,1556
R&D-Zero,2021,Validation,0.2,45.6848,1556
R&D-Zero,2021,Validation,0.3,44.9955,1556
R&D-Zero,2021,Validation,0.4,45.8657,1556
R&D-Zero,2021,Validation,0.5,45.3399,1556
R&D-Zero,2021,Validation,0.6,46.5686,1556
R&D-Zero,2021,Validation,0.7,48.4218,1556
R&D-Zero,2021,Validation,0.8,48.6591,1556
R&D-Zero,2021,Validation,0.9,51.4197,1556
R&D-Zero,2021,Validation,1.0,54.4637,1556
R&D-Zero,2022,Validation,0.0,46.733,1605
R&D-Zero,2022,Validation,0.1,44.1056,1605
R&D-Zero,2022,Validation,0.2,42.3228,1605
R&D-Zero,2022,Validation,0.3,42.7511,1605
R&D-Zero,2022,Validation,0.4,44.9438,1605
R&D-Zero,2022,Validation,0.5,43.5013,1605
R&D-Zero,2022,Validation,0.6,44.5603,1605
R&D-Zero,2022,Validation,0.7,46.547,1605
R&D-Zero,2022,Validation,0.8,47.8123,1605
R&D-Zero,2022,Validation,0.9,50.2741,1605
R&D-Zero,2022,Validation,1.0,52.6666,1605
R&D-Zero,2023,Test,0.0,47.1197,1629
R&D-Zero,2023,Test,0.1,46.1492,1629
R&D-Zero,2023,Test,0.2,44.3428,1629
R&D-Zero,2023,Test,0.3,42.9048,1629
R&D-Zero,2023,Test,0.4,43.9271,1629
R&D-Zero,2023,Test,0.5,44.7323,1629
R&D-Zero,2023,Test,0.6,46.114,1629
R&D-Zero,2023,Test,0.7,47.1622,1629
R&D-Zero,2023,Test,0.8,48.5627,1629
R&D-Zero,2023,Test,0.9,51.3039,1629
R&D-Zero,2023,Test,1.0,52.529,1629
R&D-Zero,2024,Test,0.0,45.9971,1692
R&D-Zero,2024,Test,0.1,44.7523,1692
R&D-Zero,2024,Test,0.2,43.5722,1692
R&D-Zero,2024,Test,0.3,42.9443,1692
R&D-Zero,2024,Test,0.4,45.3657,1692
R&D-Zero,2024,Test,0.5,45.4304,1692
R&D-Zero,2024,Test,0.6,46.2669,1692
R&D-Zero,2024,Test,0.7,48.6145,1692
R&D-Zero,2024,Test,0.8,50.2355,1692
R&D-Zero,2024,Test,0.9,52.8455,1692
R&D-Zero,2024,Test,1.0,56.5115,1692
