sector,alpha,mdape_pct,n
Healthcare,0.0,33.7005,1811
Healthcare,0.1,31.6188,1811
Healthcare,0.2,31.1825,1811
Healthcare,0.3,30.9223,1811
Healthcare,0.4,31.0241,1811
Healthcare,0.5,31.1641,1811
Healthcare,0.6,32.5351,1811
Healthcare,0.7,33.5289,1811
Healthcare,0.8,35.6599,1811
Healthcare,0.9,38.3476,1811
Healthcare,1.0,39.3482,1811
Tech,0.0,41.9169,2936
Tech,0.1,41.6781,2936
Tech,0.2,40.5714,2936
Tech,0.3,40.5453,2936
Tech,0.4,40.6452,2936
Tech,0.5,40.9549,2936
Tech,0.6,42.0918,2936
Tech,0.7,41.9761,2936
Tech,0.8,44.948,2936
Tech,0.9,46.1705,2936
Tech,1.0,48.7305,2936
Consumer,0.0,67.556,1978
Consumer,0.1,66.5716,1978
Consumer,0.2,66.8026,1978
Consumer,0.3,65.393,1978
Consumer,0.4,66.0733,1978
Consumer,0.5,66.4761,1978
Consumer,0.6,69.9437,1978
Consumer,0.7,72.584,1978
Consumer,0.8,76.6292,1978
Consumer,0.9,79.8598,1978
Consumer,1.0,85.1765,1978
Industrial,0.0,65.5068,2207
Industrial,0.1,62.5357,2207
Industrial,0.2,60.0836,2207
Industrial,0.3,59.6557,2207
Industrial,0.4,59.3689,2207
Industrial,0.5,60.7026,2207
Industrial,0.6,62.5258,2207
Industrial,0.7,65.5015,2207
Industrial,0.8,68.4971,2207
Industrial,0.9,72.0019,2207
Industrial,1.0,75.3919,2207
Energy,0.0,46.2125,522
Energy,0.1,43.5353,522
Energy,0.2,44.6915,522
Energy,0.3,44.0654,522
Energy,0.4,46.3576,522
Energy,0.5,47.4134,522
Energy,0.6,50.2316,522
Energy,0.7,53.6588,522
Energy,0.8,55.3265,522
Energy,0.9,58.8812,522
Energy,1.0,67.3163,522
Financial,0.0,32.3504,3545
Financial,0.1,31.9714,3545
Financial,0.2,30.6847,3545
Financial,0.3,30.6701,3545
Financial,0.4,30.3056,3545
Financial,0.5,29.653,3545
Financial,0.6,29.8186,3545
Financial,0.7,30.9398,3545
Financial,0.8,32.1212,3545
Financial,0.9,33.2735,3545
Financial,1.0,34.5834,3545
Utilities,0.0,21.0371,357
Utilities,0.1,20.4608,357
Utilities,0.2,19.9985,357
Utilities,0.3,18.1946,357
Utilities,0.4,18.617,357
Utilities,0.5,18.2715,357
Utilities,0.6,19.5767,357
Utilities,0.7,19.7992,357
Utilities,0.8,19.8507,357
Utilities,0.9,20.387,357
Utilities,1.0,20.5792,357
