stratum,alpha,mdape_pct,n
R&D-Active,0.0,40.0726,5685
R&D-Active,0.1,39.4068,5685
R&D-Active,0.2,38.4167,5685
R&D-Active,0.3,38.4676,5685
R&D-Active,0.4,38.3546,5685
R&D-Active,0.5,38.9247,5685
R&D-Active,0.6,40.837,5685
R&D-Active,0.7,41.963,5685
R&D-Active,0.8,45.2494,5685
R&D-Active,0.9,47.1926,5685
R&D-Active,1.0,49.3909,5685
R&D-Zero,0.0,47.3077,7874
R&D-Zero,0.1,45.8575,7874
R&D-Zero,0.2,44.3674,7874
R&D-Zero,0.3,43.9732,7874
R&D-Zero,0.4,44.9959,7874
R&D-Zero,0.5,45.2436,7874
R&D-Zero,0.6,46.1043,7874
R&D-Zero,0.7,47.8055,7874
R&D-Zero,0.8,49.5666,7874
R&D-Zero,0.9,52.3645,7874
R&D-Zero,1.0,54.8964,7874
