n,M0,M0_CI,M1,M1_CI,M2,M2_CI,M3,M3_CI,Δ M2-M0,Δ M3-M1,p (M2),p (M3),Multiple,Stratum
2715,38.19,"[36.42, 39.90]",25.48,"[24.06, 27.30]",35.43,"[33.96, 36.99]",25.85,"[24.67, 27.48]",7.23,-1.45,0.0,0.6743,ln(EV/Sales),Q1 lowest
2710,34.67,"[32.64, 36.76]",28.14,"[26.35, 29.73]",31.19,"[29.77, 32.70]",26.08,"[24.61, 27.27]",10.04,7.32,0.0464,0.0,ln(EV/Sales),Q2
2711,44.38,"[42.43, 46.25]",39.01,"[37.51, 40.52]",44.1,"[42.24, 46.45]",36.69,"[35.64, 37.87]",0.63,5.95,0.0146,0.0,ln(EV/Sales),Q3
2709,77.56,"[72.10, 82.44]",65.45,"[61.39, 69.95]",72.1,"[67.86, 75.65]",60.3,"[57.31, 64.13]",7.04,7.87,0.0,0.0,ln(EV/Sales),Q4
2713,113.23,"[107.29, 121.70]",84.78,"[81.45, 89.15]",113.42,"[108.43, 117.32]",82.86,"[77.88, 86.89]",-0.17,2.26,0.0,0.0,ln(EV/Sales),Q5 highest
2715,41.79,"[39.41, 43.45]",34.12,"[31.67, 36.43]",37.22,"[35.36, 39.69]",33.72,"[31.68, 35.88]",10.94,1.17,0.1833,0.0058,ln(EV/Assets),Q1 lowest
2710,94.6,"[92.77, 96.98]",84.34,"[81.39, 87.60]",85.96,"[82.90, 89.66]",80.77,"[78.15, 83.67]",9.13,4.23,0.1591,0.0003,ln(EV/Assets),Q2
2711,78.29,"[75.60, 82.32]",74.43,"[71.42, 77.87]",76.42,"[73.60, 79.50]",69.72,"[66.72, 72.97]",2.39,6.33,0.1365,0.0,ln(EV/Assets),Q3
2709,82.96,"[80.31, 86.15]",70.26,"[67.46, 73.46]",81.56,"[79.49, 85.68]",69.06,"[66.39, 73.03]",1.69,1.71,0.5581,0.0083,ln(EV/Assets),Q4
2713,96.52,"[95.20, 97.81]",78.25,"[75.19, 81.03]",91.32,"[89.10, 93.87]",76.34,"[73.69, 80.17]",5.39,2.44,0.0,0.0,ln(EV/Assets),Q5 highest
2715,97.14,"[91.42, 99.48]",82.15,"[78.89, 85.35]",81.06,"[78.20, 84.31]",80.35,"[77.52, 82.70]",16.55,2.19,0.0,0.0,ln(MktCap/SEQ),Q1 lowest
2710,62.96,"[60.12, 66.18]",56.18,"[53.06, 59.33]",59.36,"[56.44, 62.28]",54.28,"[51.58, 57.07]",5.72,3.38,0.0011,0.0019,ln(MktCap/SEQ),Q2
2711,50.59,"[48.60, 52.65]",42.62,"[40.53, 44.86]",48.63,"[46.31, 50.78]",41.43,"[39.77, 43.32]",3.87,2.79,0.0022,0.0,ln(MktCap/SEQ),Q3
2709,49.77,"[47.89, 51.49]",39.01,"[37.10, 41.13]",46.66,"[44.99, 48.41]",39.36,"[37.28, 40.90]",6.25,-0.9,0.0,0.5678,ln(MktCap/SEQ),Q4
2713,57.03,"[55.48, 59.06]",43.99,"[42.10, 45.70]",53.22,"[51.55, 55.28]",42.89,"[40.93, 44.93]",6.68,2.5,0.0009,0.0542,ln(MktCap/SEQ),Q5 highest
