n,M0,M0_CI,M1,M1_CI,M2,M2_CI,M3,M3_CI,Δ M2-M0,Δ M3-M1,p (M2),p (M3),Multiple,Stratum
7873,56.97,"[55.05, 59.29]",47.33,"[45.70, 49.20]",54.9,"[52.83, 56.59]",43.98,"[42.37, 45.24]",3.63,7.08,0.0,0.0,ln(EV/Sales),Q0 R&D=0
1139,84.15,"[77.95, 89.38]",66.99,"[61.39, 73.45]",83.33,"[77.12, 91.52]",63.36,"[59.32, 67.91]",0.97,5.42,0.0,0.0315,ln(EV/Sales),Q1 lowest
1136,61.63,"[58.97, 65.96]",46.52,"[43.10, 50.32]",55.98,"[52.35, 59.57]",43.26,"[40.66, 46.64]",9.17,7.01,0.0,0.0068,ln(EV/Sales),Q2
1136,46.28,"[43.03, 49.59]",39.97,"[38.42, 43.30]",46.19,"[42.72, 49.12]",39.24,"[37.22, 41.87]",0.19,1.83,0.054,0.2311,ln(EV/Sales),Q3
1136,38.89,"[37.16, 41.31]",35.88,"[33.88, 37.67]",36.93,"[35.04, 40.22]",34.63,"[32.00, 37.00]",5.04,3.48,0.1911,0.0006,ln(EV/Sales),Q4
1138,49.61,"[47.61, 51.85]",25.5,"[23.49, 28.08]",41.51,"[38.73, 43.87]",26.09,"[24.09, 28.07]",16.33,-2.31,0.0,0.95,ln(EV/Sales),Q5 highest
7873,87.85,"[86.32, 89.37]",69.33,"[67.25, 71.48]",77.95,"[76.57, 79.86]",67.73,"[66.10, 69.51]",11.27,2.31,0.0,0.0,ln(EV/Assets),Q0 R&D=0
1139,97.75,"[93.89, 102.63]",75.7,"[70.65, 80.75]",93.92,"[90.32, 97.38]",73.86,"[69.00, 78.16]",3.92,2.43,0.146,0.0066,ln(EV/Assets),Q1 lowest
1136,86.36,"[80.76, 92.10]",68.44,"[63.23, 75.75]",78.73,"[74.73, 85.75]",66.34,"[61.95, 70.98]",8.84,3.07,0.0126,0.008,ln(EV/Assets),Q2
1136,71.28,"[69.63, 74.30]",66.47,"[61.28, 70.09]",73.76,"[70.00, 77.49]",63.67,"[58.60, 66.83]",-3.48,4.21,0.7444,0.3564,ln(EV/Assets),Q3
1136,55.57,"[53.27, 58.10]",54.02,"[51.35, 58.23]",58.33,"[55.90, 61.14]",50.74,"[48.84, 53.42]",-4.97,6.07,0.9853,0.0005,ln(EV/Assets),Q4
1138,69.4,"[66.42, 73.25]",74.09,"[68.96, 78.39]",71.1,"[67.44, 75.33]",71.63,"[66.48, 76.45]",-2.45,3.32,0.9117,0.0632,ln(EV/Assets),Q5 highest
7873,74.04,"[72.79, 76.06]",65.72,"[63.78, 67.55]",68.12,"[66.42, 69.73]",63.07,"[61.28, 64.99]",8.0,4.03,0.0,0.0,ln(MktCap/SEQ),Q0 R&D=0
1139,54.55,"[50.85, 57.96]",44.32,"[40.73, 47.05]",52.76,"[50.29, 55.22]",41.67,"[39.21, 45.38]",3.28,5.98,0.0565,0.7937,ln(MktCap/SEQ),Q1 lowest
1136,51.49,"[47.67, 54.54]",39.21,"[36.46, 41.09]",46.91,"[44.35, 49.92]",37.73,"[35.43, 40.17]",8.89,3.77,0.0002,0.6807,ln(MktCap/SEQ),Q2
1136,46.1,"[44.03, 48.33]",37.79,"[35.56, 40.53]",45.43,"[42.55, 47.34]",36.38,"[34.42, 39.22]",1.45,3.73,0.317,0.9842,ln(MktCap/SEQ),Q3
1136,38.05,"[35.97, 39.91]",32.0,"[30.41, 34.11]",36.44,"[34.48, 38.31]",31.27,"[29.93, 33.27]",4.23,2.28,0.3706,0.0113,ln(MktCap/SEQ),Q4
1138,39.49,"[37.29, 42.62]",37.31,"[35.34, 38.93]",40.19,"[37.94, 42.45]",36.3,"[34.19, 38.78]",-1.77,2.71,0.5338,0.5948,ln(MktCap/SEQ),Q5 highest
