Industry,n,% R&D-Active,med R&D/Sales,M0,M2,Δ M2-M0,M1,M3,Δ M3-M1,p(M2),p(M3)
Steel Works Etc,117,42.7,0.0,93.37,124.95,-33.83,128.59,106.61,17.09,0.9999,0.0024
Personal Services,156,11.5,0.0,57.29,76.18,-32.96,61.67,54.86,11.04,0.6798,0.0
Wholesale,361,5.0,0.0,83.36,109.87,-31.81,75.1,71.33,5.03,0.9999,0.1263
Construction Materials,217,59.4,0.003,60.22,75.1,-24.7,55.92,53.27,4.74,0.0041,0.0282
Apparel,131,7.6,0.0,75.26,89.98,-19.55,94.24,84.8,10.01,0.6236,0.0016
Retail,544,7.0,0.0,81.76,95.48,-16.78,79.79,79.22,0.71,0.9952,0.0208
Measuring and Control Eq.,216,96.3,0.0921,32.13,37.48,-16.66,33.26,30.48,8.36,0.0226,0.1714
Machinery,412,85.9,0.0209,56.29,65.04,-15.55,53.34,46.73,12.41,0.0116,0.2955
Computers,109,100.0,0.1008,76.41,88.15,-15.37,81.21,72.82,10.33,0.9983,0.8545
Banking,1506,1.0,0.0,38.14,41.89,-9.85,37.83,36.54,3.43,0.9996,0.5726
"Restaurants, Hotels, Motels",171,10.5,0.0,58.44,63.7,-9.0,61.31,56.86,7.27,0.0107,0.0223
Computer Software,1102,85.8,0.1731,38.4,41.7,-8.58,38.17,36.95,3.2,0.0,0.0036
Healthcare,226,28.3,0.0,62.89,67.73,-7.71,58.67,50.34,14.2,0.3643,0.0002
Utilities,357,0.6,0.0,19.32,20.58,-6.51,21.04,18.19,13.51,0.0271,0.0442
Electronic Equipment,552,93.5,0.1189,52.47,55.76,-6.27,44.12,46.91,-6.34,0.0001,0.9368
Construction,198,0.0,0.0,101.19,107.32,-6.05,86.72,77.75,10.35,0.9913,0.0092
Food Products,186,67.7,0.0027,57.66,60.86,-5.55,50.39,47.93,4.88,0.785,0.201
Insurance,475,6.7,0.0,99.45,103.98,-4.55,97.32,94.4,3.01,0.9927,0.0006
Entertainment,128,9.4,0.0,37.59,38.19,-1.6,35.27,33.45,5.15,0.0513,0.6171
Communication,201,25.4,0.0,51.41,51.46,-0.08,53.53,45.75,14.52,0.8467,0.0
Transportation,306,9.8,0.0,82.12,82.17,-0.06,79.38,66.62,16.07,0.0141,0.0
Medical Equipment,466,97.9,0.0971,37.43,36.92,1.36,35.12,31.22,11.11,0.0015,0.1183
Business Services,600,29.0,0.0,53.59,51.95,3.06,44.41,41.27,7.07,0.0,0.0549
Chemicals,289,79.6,0.0127,65.27,63.18,3.2,53.58,50.34,6.04,0.004,0.0076
Consumer Goods,183,77.0,0.0161,85.02,80.09,5.8,57.32,57.79,-0.81,0.0,0.1957
Automobiles and Trucks,185,90.8,0.026,95.98,89.96,6.27,84.64,69.12,18.34,0.8626,0.0003
Petroleum and Natural Gas,394,16.5,0.0,56.84,52.1,8.33,45.13,43.03,4.64,0.0164,0.035
Trading,1416,2.8,0.0,16.7,15.05,9.92,15.66,14.44,7.8,0.0,0.0
Electrical Equipment,203,87.7,0.0325,69.94,62.67,10.39,54.63,45.39,16.9,0.0114,0.187
Almost Nothing,168,33.3,0.0,102.55,80.97,21.04,64.39,63.96,0.66,0.1694,0.1142
Pharmaceutical Products,1119,96.2,1.1542,46.96,36.88,21.47,30.27,28.42,6.09,0.0,0.5924
Real Estate,148,10.8,0.0,76.86,54.57,29.0,61.03,58.51,4.13,0.0038,0.2015
