Year,Stratum,n,M0,M1,M2,M3,Δ M2-M0,p (M2),Δ M3-M1,p (M3)
2020,R&D-Active,1054,49.62,37.63,46.14,35.4,7.01,0.003,5.93,0.2399
2020,R&D-Zero,1392,57.65,46.15,57.08,45.15,0.98,0.0065,2.16,0.001
2021,R&D-Active,1225,49.65,34.89,44.54,34.64,10.28,0.0,0.71,0.2352
2021,R&D-Zero,1556,56.91,50.26,54.46,45.0,4.3,0.0003,10.47,0.0
2022,R&D-Active,1112,56.77,45.24,54.1,42.8,4.7,0.0028,5.39,0.0031
2022,R&D-Zero,1604,56.82,46.76,52.75,42.76,7.17,0.0478,8.56,0.0
2023,R&D-Active,1113,52.88,41.9,49.32,38.87,6.72,0.0002,7.24,0.0888
2023,R&D-Zero,1629,55.8,47.12,52.53,42.9,5.86,0.0223,8.95,0.0
2024,R&D-Active,1181,55.77,42.4,54.72,41.35,1.89,0.0023,2.48,0.0728
2024,R&D-Zero,1692,57.66,46.0,56.51,42.94,2.0,0.244,6.64,0.0
