term,mean_active,mean_zero,delta
systems,0.034959713817645795,0.009203216417295898,0.025756497400349895
software,0.02938171106300946,0.005606711386632292,0.023774999676377168
cloud,0.024313540407080832,0.0037252581303724164,0.020588282276708416
platform,0.030753917218792275,0.010889500330859666,0.01986441688793261
product,0.03584248310220692,0.01699052627622251,0.01885195682598441
solutions,0.039347097612828334,0.020744167936610658,0.018602929676217676
applications,0.02222634722679645,0.0038284746772827504,0.0183978725495137
technologies,0.02270676049536575,0.005310477127729561,0.01739628336763619
manufacturing,0.02531370714644596,0.008389901574198215,0.016923805572247746
global,0.033708298489136285,0.017213217179020378,0.016495081310115907
advanced,0.023606761906148004,0.007155008006542594,0.01645175389960541
data,0.028339853254038427,0.012798693181527591,0.015541160072510836
clinical,0.018031839482359563,0.0027313939364922366,0.015300445545867326
therapies,0.01528270580563611,0.0004608937878296941,0.014821812017806416
devices,0.016574822883034277,0.001756401625691291,0.014818421257342985
medical,0.0202455793187874,0.005483873373840962,0.014761705944946437
patients,0.016590125716946305,0.001856269461868416,0.01473385625507789
drug,0.016031320616931008,0.0014442592895081772,0.01458706132742283
cell,0.01492981984509869,0.0005273684942243945,0.014402451350874295
ai,0.01812282970228233,0.0037597803966601413,0.014363049305622188
disease,0.01324772283927533,0.0005031694212764541,0.012744553417998876
technology,0.027575736946036954,0.01496218294800356,0.012613553998033393
diseases,0.012428594191493003,0.00018388947433715006,0.012244704717155852
semiconductor,0.012097949663281284,0.0003132575073899045,0.011784692155891379
development,0.02423345154453061,0.012688789500134055,0.011544662044396557
pharmaceutical,0.01306491671631297,0.001580237753714773,0.011484678962598197
performance,0.01887170565860643,0.007435891012356066,0.011435814646250363
commercialization,0.01157139937250938,0.0002124053131131383,0.011358994059396242
candidates,0.011230975119449236,0.00017201912107279316,0.011058955998376443
security,0.015497583285450237,0.004735144660266107,0.01076243862518413
patents,0.014386669294891002,0.003670151564534398,0.010716517730356603
cancer,0.010975260532063283,0.0003974682886291508,0.010577792243434131
sales,0.02722313124750157,0.016735525613973505,0.010487605633528064
manufacturers,0.01573423004910063,0.005311953314380912,0.01042227673471972
innovation,0.015160520638069244,0.004791256657537195,0.010369263980532048
patient,0.01301070503365926,0.002665846052496572,0.010344858981162688
research,0.014552958845866005,0.004528283850972552,0.010024674994893453
products,0.036546947219998904,0.026567309727548546,0.009979637492450358
power,0.018225489031041733,0.008311962155953572,0.00991352687508816
phase,0.010263998362995474,0.00043086052263085985,0.009833137840364613
device,0.010833283063383761,0.0012384294040199103,0.00959485365936385
therapeutic,0.00970737003918826,0.0003870312283959362,0.009320338810792323
therapy,0.010186728358288483,0.0008842021349920365,0.009302526223296446
defense,0.011621536614466672,0.0026869197118181976,0.008934616902648474
approved,0.010162099482745811,0.0012651600271097341,0.008896939455636077
biopharmaceutical,0.009047773090698338,0.0002067889818628194,0.008840984108835518
like,0.02326018078209369,0.014443839273329791,0.0088163415087639
proprietary,0.02211605812699908,0.013311800438705099,0.00880425768829398
developing,0.011985969050262162,0.003277481358643592,0.008708487691618569
automotive,0.013377312346031005,0.0047319411171661595,0.008645371228864846
gene,0.008608147268287526,0.00014376304192378352,0.008464384226363742
oems,0.010488956899678112,0.0020537512115010163,0.008435205688177096
novel,0.008548191115127049,0.00013326190956498634,0.008414929205562062
safety,0.013115772160171619,0.0047028191847614705,0.008412952975410148
components,0.012923172049401743,0.004529941893338054,0.00839323015606369
application,0.01045266251004217,0.002220851465397102,0.008231811044645067
control,0.01320113042130899,0.004987637201356085,0.008213493219952905
design,0.016440888793067765,0.008252999136912683,0.008187889656155082
fda,0.008533855006894782,0.0004355286958028926,0.00809832631109189
hardware,0.009606619014151638,0.001565446711039488,0.008041172303112151
equipment,0.01875889310548593,0.010780901596955125,0.007977991508530806
materials,0.013331828801071038,0.005356157575168047,0.007975671225902991
oncology,0.008480886435146901,0.0005279768638847841,0.007952909571262117
research development,0.00848901971063065,0.0007047891404914057,0.0077842305701392445
engineered,0.010106257055649114,0.0023908739976214928,0.007715383058027622
test,0.008581751404836725,0.0008725709412107979,0.007709180463625927
