industry,n_firms,n_rd_active,n_rd_zero,pct_rd_active
Pharmaceutical Products,380,366,14,96.3
Computer Software,305,255,50,83.6
Electronic Equipment,134,125,9,93.3
Medical Equipment,126,125,1,99.2
Machinery,100,86,14,86.0
Chemicals,66,53,13,80.3
Measuring and Control Eq.,55,52,3,94.5
Electrical Equipment,56,50,6,89.3
Business Services,153,49,104,32.0
Automobiles and Trucks,50,45,5,90.0
Consumer Goods,44,36,8,81.8
Food Products,47,31,16,66.0
Construction Materials,50,28,22,56.0
Computers,27,27,0,100.0
Healthcare,66,19,47,28.8
Recreation,21,17,4,81.0
Almost Nothing,41,15,26,36.6
Petroleum and Natural Gas,103,15,88,14.6
Aircraft,18,15,3,83.3
Communication,52,13,39,25.0
Retail,130,13,117,10.0
Steel Works Etc,26,12,14,46.2
Trading,339,12,327,3.5
Insurance,113,9,104,8.0
Business Supplies,16,9,7,56.2
Transportation,78,9,69,11.5
Defense,10,7,3,70.0
Real Estate,38,7,31,18.4
Shipping Containers,8,6,2,75.0
Personal Services,40,6,34,15.0
Wholesale,88,5,83,5.7
Banking,372,5,367,1.3
"Shipbuilding, Railroad Eq.",7,5,2,71.4
Entertainment,39,5,34,12.8
Rubber and Plastic Products,8,5,3,62.5
"Restaurants, Hotels, Motels",42,4,38,9.5
Textiles,7,3,4,42.9
Beer & Liquor,9,3,6,33.3
Agriculture,11,3,8,27.3
Candy & Soda,9,2,7,22.2
Apparel,29,2,27,6.9
Non-Metallic Mining,17,2,15,11.8
Fabricated Products,5,2,3,40.0
Tobacco Products,3,1,2,33.3
Printing and Publishing,9,1,8,11.1
Utilities,79,1,78,1.3
Coal,9,0,9,0.0
Construction,48,0,48,0.0
Precious Metals,11,0,11,0.0
