focal_tic,focal_fyear,stratum,industry,market_cap,xrd,delta_m3_m1,delta_m2_m0,m3_wins_m1,jaccard_m1m2,regime
A,2020,R&D-Active,Measuring and Control Eq.,31259.753819999998,495.0,0.002524455163102443,0.137840584604636,1,0.0,middle
A,2021,R&D-Active,Measuring and Control Eq.,47594.73792000001,441.0,0.05814316689232403,0.11754909861689228,1,0.0,middle
A,2022,R&D-Active,Measuring and Control Eq.,40849.082650000004,467.0,0.1614113162603467,0.19539678278178452,1,0.0,M3 wins big
A,2023,R&D-Active,Measuring and Control Eq.,30196.75451,481.0,0.16376393854954036,0.12426591379926501,1,0.0,M3 wins big
A,2024,R&D-Active,Measuring and Control Eq.,37163.49983,479.0,0.0111683482588434,0.025767687979744935,1,0.0,middle
AA,2020,R&D-Active,Steel Works Etc,4286.7929,27.0,-0.38787114427059155,-1.1320859746956644,0,0.0,M3 loses big
AA,2021,R&D-Active,Steel Works Etc,10968.678,31.0,0.0,-12.87048473274356,0,0.05263157894736842,middle
AA,2022,R&D-Active,Steel Works Etc,8046.78043,32.0,-1.3740313467542227,-3.096292396196142,0,0.0,M3 loses big
AA,2023,R&D-Active,Steel Works Etc,6068.048000000001,39.0,-0.5136498628711323,-0.5281644265602106,0,0.05263157894736842,M3 loses big
AA,2024,R&D-Active,Steel Works Etc,9760.87858,57.0,-10.484774446232873,-19.685390672707587,0,0.0,M3 loses big
AAOI,2020,R&D-Active,Electronic Equipment,213.68609999999998,43.393,0.9426790742671657,-2.079327092969512,1,0.0,M3 wins big
AAOI,2022,R&D-Active,Electronic Equipment,54.09558,36.244,0.09825481750250076,-1.3673998598540864,1,0.0,middle
AAOI,2024,R&D-Active,Electronic Equipment,1820.62598,54.955,0.41786415526434695,-0.08454888490331924,1,0.0,M3 wins big
AAON,2020,R&D-Active,Machinery,3479.75175,17.4,-0.00454689102359751,-0.09787994601273842,0,0.0,middle
AAON,2021,R&D-Active,Machinery,4172.29904,16.6,0.09576264189423744,0.1594352932062965,1,0.05263157894736842,middle
AAON,2022,R&D-Active,Machinery,4023.9709999999995,46.8,0.38322484263251966,0.047698428095971024,1,0.0,M3 wins big
AAON,2023,R&D-Active,Machinery,6020.99596,43.7,0.03725450801029395,0.12708039029397344,1,0.0,middle
