Industry,n,% R&D-Active,M0,M1,M3,Δ M3-M1,p (M3<M1),Δ M2-M0,p (M2<M0)
Automobiles and Trucks,185,90.8,95.98,84.64,69.12,18.34,0.0003,6.27,0.8626
Steel Works Etc,117,42.7,93.37,128.59,106.61,17.09,0.0024,-33.83,0.9999
Electrical Equipment,203,87.7,69.94,54.63,45.39,16.9,0.187,10.39,0.0114
Transportation,306,9.8,82.12,79.38,66.62,16.07,0.0,-0.06,0.0141
Communication,201,25.4,51.41,53.53,45.75,14.52,0.0,-0.08,0.8467
Healthcare,226,28.3,62.89,58.67,50.34,14.2,0.0002,-7.71,0.3643
Utilities,357,0.6,19.32,21.04,18.19,13.51,0.0442,-6.51,0.0271
Machinery,412,85.9,56.29,53.34,46.73,12.41,0.2955,-15.55,0.0116
Medical Equipment,466,97.9,37.43,35.12,31.22,11.11,0.1183,1.36,0.0015
Personal Services,156,11.5,57.29,61.67,54.86,11.04,0.0,-32.96,0.6798
Construction,198,0.0,101.19,86.72,77.75,10.35,0.0092,-6.05,0.9913
Computers,109,100.0,76.41,81.21,72.82,10.33,0.8545,-15.37,0.9983
Apparel,131,7.6,75.26,94.24,84.8,10.01,0.0016,-19.55,0.6236
Measuring and Control Eq.,216,96.3,32.13,33.26,30.48,8.36,0.1714,-16.66,0.0226
Trading,1416,2.8,16.7,15.66,14.44,7.8,0.0,9.92,0.0
"Restaurants, Hotels, Motels",171,10.5,58.44,61.31,56.86,7.27,0.0223,-9.0,0.0107
Business Services,600,29.0,53.59,44.41,41.27,7.07,0.0549,3.06,0.0
Pharmaceutical Products,1119,96.2,46.96,30.27,28.42,6.09,0.5924,21.47,0.0
Chemicals,289,79.6,65.27,53.58,50.34,6.04,0.0076,3.2,0.004
Entertainment,128,9.4,37.59,35.27,33.45,5.15,0.6171,-1.6,0.0513
Wholesale,361,5.0,83.36,75.1,71.33,5.03,0.1263,-31.81,0.9999
Food Products,186,67.7,57.66,50.39,47.93,4.88,0.201,-5.55,0.785
Construction Materials,217,59.4,60.22,55.92,53.27,4.74,0.0282,-24.7,0.0041
Petroleum and Natural Gas,394,16.5,56.84,45.13,43.03,4.64,0.035,8.33,0.0164
Real Estate,148,10.8,76.86,61.03,58.51,4.13,0.2015,29.0,0.0038
Banking,1506,1.0,38.14,37.83,36.54,3.43,0.5726,-9.85,0.9996
Computer Software,1102,85.8,38.4,38.17,36.95,3.2,0.0036,-8.58,0.0
Insurance,475,6.7,99.45,97.32,94.4,3.01,0.0006,-4.55,0.9927
Retail,544,7.0,81.76,79.79,79.22,0.71,0.0208,-16.78,0.9952
Almost Nothing,168,33.3,102.55,64.39,63.96,0.66,0.1142,21.04,0.1694
Consumer Goods,183,77.0,85.02,57.32,57.79,-0.81,0.1957,5.8,0.0
Electronic Equipment,552,93.5,52.47,44.12,46.91,-6.34,0.9368,-6.27,0.0001
