stratum,rank,mean,count,pct
R&D-Active,1,0.076,500,7.6
R&D-Active,2,0.046,500,4.6
R&D-Active,3,0.024,500,2.4
R&D-Active,4,0.038,500,3.8
R&D-Active,5,0.02,500,2.0
R&D-Active,6,0.034,500,3.4000000000000004
R&D-Active,7,0.03,500,3.0
R&D-Active,8,0.04,500,4.0
R&D-Active,9,0.034,500,3.4000000000000004
R&D-Active,10,0.024,500,2.4
R&D-Zero,1,0.138,500,13.8
R&D-Zero,2,0.11,500,11.0
R&D-Zero,3,0.084,500,8.4
R&D-Zero,4,0.054,500,5.4
R&D-Zero,5,0.068,500,6.800000000000001
R&D-Zero,6,0.038,500,3.8
R&D-Zero,7,0.066,500,6.6000000000000005
R&D-Zero,8,0.05,500,5.0
R&D-Zero,9,0.066,500,6.6000000000000005
R&D-Zero,10,0.058,500,5.800000000000001
