model,mdape,mape,multiple,k,n,mdape_rank,mape_rank,rank_shift
M0_FF49,0.5479081490615614,3.3995947642238034,ln_v2s,10,13558,4,1,True
M1_Financial,0.4374969855346723,3.6494580341768406,ln_v2s,10,13559,2,2,False
M2_Text,0.5188985028192978,4.772393628723292,ln_v2s,10,13559,3,4,True
M3_Fusion,0.41126754037394164,3.799172969766992,ln_v2s,10,13559,1,3,True
M0_FF49,0.823078786774551,4.376307101396896,ln_v2a,10,13558,4,1,True
M1_Financial,0.6860306623628912,52.03157342260624,ln_v2a,10,13559,2,4,True
M2_Text,0.7652610531368069,40.71120038423873,ln_v2a,10,13559,3,3,False
M3_Fusion,0.6629193427708661,8.366966476374953,ln_v2a,10,13559,1,2,True
M0_FF49,0.6006223609414495,4.152359461331164,ln_m2b,10,13558,4,4,False
M1_Financial,0.504328095861938,3.5720049511994576,ln_m2b,10,13559,2,2,False
M2_Text,0.5586613028636004,3.6100453663896968,ln_m2b,10,13559,3,3,False
M3_Fusion,0.4904460166300145,3.3550675091334994,ln_m2b,10,13559,1,1,False
