industry,n,median_ape_m3,median_ape_m0,pct_m0_wins,pct_m1_wins,pct_m2_wins,pct_m3_wins,text_advantage
Trading,1416,14.4,16.7,22.7,27.3,30.2,19.8,-0.0
Utilities,357,18.2,19.3,19.9,28.6,32.8,18.8,-0.0
Pharmaceutical Products,1119,28.4,47.0,21.3,35.5,22.6,20.6,-8.5
Measuring and Control Eq.,216,30.5,32.1,28.2,27.8,25.9,18.1,-4.7
Medical Equipment,466,31.2,37.4,22.3,31.5,24.7,21.5,-2.5
Entertainment,128,33.5,37.6,18.8,35.9,29.7,15.6,-3.2
Banking,1506,36.5,38.1,23.0,33.7,22.9,20.3,-7.6
Computer Software,1102,36.9,38.4,23.5,31.0,25.5,20.0,-4.2
Business Services,600,41.3,53.6,18.2,34.8,27.5,19.5,-7.6
Petroleum and Natural Gas,394,43.0,56.8,21.8,32.7,27.7,17.8,-3.1
Electrical Equipment,203,45.4,69.9,18.2,34.0,22.7,25.1,-9.9
Communication,201,45.8,51.4,27.9,24.4,25.4,22.4,6.0
Machinery,412,46.7,56.3,21.1,38.8,22.8,17.2,-12.9
Electronic Equipment,552,46.9,52.5,17.4,37.7,24.8,20.1,-12.2
Food Products,186,47.9,57.7,24.2,37.1,22.0,16.7,-16.2
Healthcare,226,50.3,62.9,23.5,26.5,26.5,23.5,-8.3
Chemicals,289,50.3,65.3,21.5,33.2,21.1,24.2,-12.5
Construction Materials,217,53.3,60.2,14.7,35.5,24.9,24.9,-12.9
Personal Services,156,54.9,57.3,28.2,29.5,23.7,18.6,-2.1
"Restaurants, Hotels, Motels",171,56.9,58.4,24.6,29.2,25.7,20.5,-6.1
Consumer Goods,183,57.8,85.0,8.7,44.3,24.6,22.4,-18.6
Real Estate,148,58.5,76.9,11.5,39.2,35.1,14.2,-4.2
Almost Nothing,168,64.0,102.6,19.0,35.1,23.2,22.6,-16.5
Transportation,306,66.6,82.1,24.2,31.7,23.5,20.6,-4.6
Automobiles and Trucks,185,69.1,96.0,24.9,27.0,25.4,22.7,-10.4
Wholesale,361,71.3,83.4,28.8,31.6,18.0,21.6,-35.9
Computers,109,72.8,76.4,26.6,37.6,17.4,18.3,-40.2
Construction,198,77.7,101.2,26.8,33.8,20.2,19.2,-15.5
Retail,544,79.2,81.8,25.7,32.0,23.2,19.1,-14.3
Apparel,131,84.8,75.3,28.2,28.2,25.2,18.3,-3.6
Insurance,475,94.4,99.5,25.3,32.4,22.7,19.6,-10.9
Steel Works Etc,117,106.6,93.4,41.0,18.8,23.9,16.2,-5.5
