Ticker,Company,Year,Industry,EV/Sales,M0 APE,M1 APE,M2 APE,M3 APE,Best,MCap $m,Jacc,Flag
MLKN,MILLERKNOLL INC,2021,Business Supplies,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M0_FF49,$2290m,0.000,
CRTO,CRITEO SA,2024,Business Services,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M1_Fin,$2147m,0.000,
STLD,STEEL DYNAMICS INC,2020,Steel Works Etc,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M0_FF49,$7776m,0.053,
EVR,EVERCORE INC,2022,Trading,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M1_Fin,$4183m,0.000,
SLNG,STABILIS SOLUTIONS INC,2022,Petroleum and Natural Gas,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M0_FF49,$98m,0.000,
MHH,MASTECH DIGITAL INC,2020,Almost Nothing,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M1_Fin,$181m,0.000,
CBRE,CBRE GROUP INC,2023,Real Estate,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M2_Text,$28382m,0.000,
PATK,PATRICK INDUSTRIES INC,2020,Automobiles and Trucks,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M0_FF49,$1597m,0.053,
HSIC,HENRY SCHEIN INC,2020,Wholesale,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M2_Text,$9525m,0.000,
TNET,TRINET GROUP INC,2020,Business Services,1.00x,>1000%*,>1000%*,>1000%*,>1000%*,M2_Text,$5356m,0.053,
